,text,likes,Date,Time,confidence,language,script
21,"you chose bharat and not pakistani audience
great work",604,2025-05-31,09:19:08,[0.81806785],English,Roman
22,"im muslim and pakistani
i like you dhruv and i strongly condemn k kisi bhi innocent ka khoon bahana haraam hy chahy wo koi bhi ho yahood muslim hindu christian koi bhi kisi ka bhi khoon bahana haraam hai",584,2025-05-31,14:33:42,[0.48976135],English,Roman
23,"still the question is same
• who revoked the security from the tourist site .. as it was prone to be attacked
• how they managed to penetrate around 100-150 km inside the loc , where was the intelligence
• who delisted the attack site and why it was still open after being delisted as tourist site",582,2025-05-31,07:40:29,[0.98697686],English,Roman
24,"just here to say love from pakistan
let's spread peace and unity in the region",581,2025-05-31,10:21:47,[0.92126536],English,Roman
25,"salute to indian soldiers who lost their lives for us the people of nation and prayers to their family members
when we lost any family member it affects the whole family not only soldiers but their families too are true soldiers who sacrificed their lives being alive
salute to soldiers whole heartedly",578,2025-05-31,08:08:32,[0.9818473],English,Roman
26,"dhruv i am a neutral observer; an indian; and i'm convinced that you're not against india
you have raised issues which the common man were are and will be skeptical to raise, but your video on operation sindoor proves that you are not godi media or anti government
kudos",572,2025-05-31,09:01:36,[0.9731296],English,Roman
27,we got dhruv rathee software update before gta 6,553,2025-06-02,09:01:49,[0.7219947],English,Roman
28,"i as a muslim
always support you
criticism is the part of change",542,2025-05-31,08:49:43,[0.9838341],English,Roman
29,"we 240 million indian muslims proud be indian & always stand with our country
long live india",525,2025-05-31,08:34:47,[0.61112744],English,Roman
30,"today video is 100% fair
you mentioned both sides flaws",484,2025-05-31,09:01:46,[0.9764063],English,Roman
31,awesome dhruv ..we indian muslims r support ur unbiased idealogy & support ur true patriotism,471,2025-05-31,09:31:13,[0.70285267],English,Roman
32,"dhrov bhai, i also listen to you with great interest
there are some things i disagree with you on, and many things i agree with you on
but as far as your statement that the pakistani army is not only harmful to india but equally harmful to pakistan itself just this statement alone is enough to prove you are right
and i’m saying this as a pakistani, sitting in pakistan, that the pakistani army is extremely harmful to pakistan",459,2025-05-31,08:00:42,[0.97715884],English,Roman
33,a guy speaking facts and prioritising humanity first great job man appreciated,455,2025-05-31,15:17:45,[0.8853042],English,Roman
34,mother respect  triple tap,440,2025-05-31,08:09:17,[0.7644266],English,Roman
35,"*one thing i've realised: pakistani military and its establishment is so capable of making their population beleive whatever they want
*",439,2025-05-31,07:37:28,[0.9661502],English,Roman
36,dear dhruv you did not mention pakistani civilians including children who were killed by indian missiles,429,2025-05-31,19:10:33,[0.99567604],English,Roman
37,"i'm indian muslim
full saport my indian
army aor dhuruv bhai ko",411,2025-05-31,08:04:14,[0.70126843],English,Roman
38,"love from karachi pakistan
great and honest explanation",385,2025-05-31,08:20:08,[0.8143353],English,Roman
39,indian army,373,2025-05-31,07:35:33,[0.7555333],English,Roman
40,mai indian muslim hu or mujhe apne desh se apni jan se v jyada pyr h i love my india,369,2025-05-31,08:31:33,[0.10543604],English,Roman
41,"pakistan: we won the war
world: how
pakistan: because we are alive",367,2025-05-31,12:14:40,[0.8384777],English,Roman
42,as a muslim we always support truth even our society is wrong we never support wrong  we are ummat-e-muhammad (saw),354,2025-06-02,08:12:52,[0.9735421],English,Roman
43,"bro exposed the script of upcoming bollywood movie named ""mission sindoor""",341,2025-06-01,16:59:24,[0.85674495],English,Roman
44,"facts!
appreciate the effort behind this detailed information
lots of love from nepal",340,2025-05-31,08:52:07,[0.902889],English,Roman
45,log toh insaan se dusmani lete hai lekin ye banda desho se dusmani le raha hai,328,2025-05-31,11:33:44,[0.08457742],Maltese,Roman
46,"main bachpan se rahim yar khan main reh rahi hoon aur mujhe aaj tak pta nahin chala ke yaahn koi airbase bhi hai
bohot shukria india walo",311,2025-05-31,18:57:48,[0.26122135],English,Roman
47,"i'm from pakistan and just wanted to say you're my absolute favourite youtuber!
i've learned so much from you over the years, the way you explain things is so clear and genuine
please keep doing what you do, your videos truly make a difference
much love and respect from across the border!",296,2025-05-31,10:45:08,[0.95088273],English,Roman
48,"i am from nepal, and have seen your almost all videos and came to conclusion that you are true nationalist and rare person with fair judgement with no biasness in india
lots of respect to you and brother special thanks to you for your educational contents",291,2025-05-31,08:12:37,[0.9742706],English,Roman
49,iam indian muslim and i support dhruv from my heart jai hind,290,2025-05-31,07:38:13,[0.7474827],English,Roman
50,9:26    was epic,287,2025-05-31,08:00:55,[0.99965423],English,Roman
51,"you had a firey introduction this time
the best",286,2025-05-31,07:57:02,[0.9731137],English,Roman
52,"dr. a.p.j. abdul kalam, known as the ""missile man of india,"" played a crucial role in the development of akash air defence system and was instrumental in overseeing the integrated guided missile development programme (igmdp)
the akash missile was conceptualized in 1983 under the guidance of dr
kalam, who was the director of the defence research and development laboratory (drdl) in hyderabad at the time",278,2025-05-31,14:33:42,[0.96798],English,Roman
53,"jaise hamesha, dhruv bhai ne facts ke saath ek aur powerful video banaya!
'operation sindoor' sirf ek video nahi, balki ek aankhen kholne waali documentary hai
clarity, research aur presentation top-notch hai
aise hi sach dikhate rahiye!",272,2025-05-31,07:58:54,[0.42583367],English,Roman
54,"from kashmir
love you bro
big respect
your vedio beautiful",268,2025-05-31,07:41:58,[0.5183972],English,Roman
55,"bro as a pakistani i know you are telling the truth but we can't speak against them because if we will, next day we will disappear from this planet",266,2025-06-05,21:09:27,[0.97905743],English,Roman
56,salute the soldiers who died for us,265,2025-05-31,09:29:04,[0.9949184],English,Roman
57,"video summary
- indian government criticism/how hindus are doing injustice with muslims - 90%
criticism to pakistan or pakistani people hardly 10%
democracy ka rakhwala...
unbiased mr dhruv rathee",260,2025-06-05,20:18:17,[0.8465206],English,Roman
58,he is a prime example of a sensible human being,259,2025-05-31,08:05:29,[0.97282636],English,Roman
59,"dhrub rathee
youtuber
good youtuber
real news supporter
indian supporter",257,2025-05-31,09:39:47,[0.5682609],English,Roman
60,"hi dhruv bhai,
i am a daily viewer from nepal and a big fan of your videos
i truly appreciate the way you present facts and uncover hidden truths in a neutral, research-based manner
i would like to humbly request you to consider making a video on the nepal royal family massacre that took place in 2001
there are still many unanswered questions, rumors, and conspiracy theories surrounding this tragic event
many nepali people, including the youth, would benefit from an unbiased and well-researched explanation — and you are the best person for that
i hope you'll consider this
thank you for your amazing work and for always speaking truth to power
with respect,
birendra singh mangola",255,2025-05-31,09:01:30,[0.96441996],English,Roman
61,"""pakistanis: ‘we love truth!
’
dhruv: exposes india’s faults
pakistanis: ‘dhruv is a hero!
dhruv: exposes pakistan’s secrets
pakistanis: ‘dhruv, please stop, you’re hurting our feelings!
’ """,246,2025-05-31,07:43:56,[0.5561873],English,Roman
62,"as a muslim from  pakistan
i am 100% agree with dhruv rathe",244,2025-05-31,08:13:03,[0.9739003],English,Roman
63,"*dhruv, the situation with mohak mangal and ani is really concerning
if copyright laws are being misused to silence independent voices, it affects the whole creator ecosystem
your platform has the power to bring this issue into the mainstream
please make a video to explain this to your audience — creators and viewers both deserve to know what's happening behind the scenes*",233,2025-05-31,07:49:36,[0.9527368],English,Roman
64,as a paistani you explained well and i was annoyed until you expressed the truth thanks!,233,2025-05-31,08:57:00,[0.99221504],English,Roman
65,। salute man,232,2025-05-31,08:33:27,[0.3813424],Walloon,Roman
66,"dhruv hypocrisy 1- why he don't talk about anyone in pakistan who got killed by operation sindoor
2- why he only use indian media( one side )
3- now he don't talk about modi",220,2025-05-31,20:07:51,[0.9791883],English,Roman
67,"why can't we live in peace and not pieces?
, nothing we came with, and nothing we will take..
thank you, mr druv, for shedding light on hidden truth..people need to be awakened!
salute & gratitude to the brave armed forces and the sacrifice of their families..",219,2025-05-31,08:58:22,[0.9305594],English,Roman
68,you did not mention pakistani civilians including children who were killed by indian missiles,216,2025-05-31,21:02:13,[0.9975149],English,Roman
69,"reuters did mention that trf is linked to pakistan, but if you actually read the report, they didn’t provide any evidence to support that claim
as for your statement about al jazeera calling trf an outfit of lashkar-e-taiba — they never said that
you’re misrepresenting the sources
it’s important to read the full reports carefully instead of making assumptions or quoting them out of context",202,2025-05-31,20:19:57,[0.9561147],English,Roman
70,"hi dhruv, i am from pakistan  there is no doubt you are one of the most well respected youtuber and all for the right reasons
i respect you a great deal
i hope you continue to work with the truth and spread awareness and i hope civil sense prevails in people of the subcontinent
unfortunately, religious extremism thrives on both sides of the border which should be stopped
the subcontinent needs peace, tolerance and stability to progress
you have my respect forever for taking up the work which is difficult but right
even if i disagree i will respectfully disagree, and still hold your words in my head because possibly you could be right too
will give you all the credit for doing great work
you truly are one of the best in the subcontinent",202,2025-05-31,08:48:42,[0.95353645],English,Roman
71,"you don't talk about the persecution of muslims in india, the killing of muslims, the eviction of their homes, the expulsion of them from the country, the denial of their id cards, the cancellation of their id cards, the denial of their passports",200,2025-06-01,10:37:14,[0.984364],English,Roman
72,"i’m pakistani and you’re 100% right
kudos to you for speaking facts",199,2025-05-31,14:35:58,[0.7443067],English,Roman
73,love from assam,196,2025-05-31,07:35:15,[0.8271781],English,Roman
74,"proud to be an ""indian muslim""",190,2025-05-31,07:48:28,[0.7813362],English,Roman
75,"(soldier)  ,",183,2025-06-03,04:41:11,[0.8612364],English,Roman
76,i am from baloch.. thanks a lot for clarifying yourself on this topic but you should always check facts for every side (lots of love),176,2025-05-31,08:38:37,[0.93861645],English,Roman
77,"i am a pakistani muslim and i love my hindu friends
i have never seen any kind of discrimination against the people of a certain religion maybe it’s because i am from karachi and karachi is known for its diversity
as a student the books i have read have always taught me to respect everyone irrespective of their religion
love from pakistan to india",175,2025-05-31,09:05:55,[0.97057223],English,Roman
78,"i am from pakistan , and i respect you
your work is amazing
people have their own opinions — some may be right, some may be wrong — but we should always choose peace
no war, no fights",171,2025-06-01,23:39:21,[0.9576548],English,Roman
79,great analysis and research video,170,2025-06-01,06:06:57,[0.87341315],English,Roman
80,"india proof: satellite images and footages
pakistan proof: social media",169,2025-05-31,16:49:45,[0.7517368],English,Roman
81,"when pakistan said let's investigate it together why was it denied by the indian government?
?",167,2025-06-02,13:23:27,[0.9821635],English,Roman
82,"dekho dekho sher aya
jai hind jai bharat sir",165,2025-05-31,07:37:07,[0.3591242],English,Roman
83,"please, please, dhruv sir, make a video about climate change
i humbly request you with folded hands because millions of people watch your videos, and this is a huge problem facing the world right now
please make a video to raise awareness about climate change",163,2025-05-31,10:11:39,[0.9224312],English,Roman
84,"whether jinnah was right or wrong but ‘thank god’ for pakistan, as a muslim, i can live freely and don’t have to prove my loyalty to the state and cow protection people everyday",157,2025-05-31,21:13:51,[0.93365496],English,Roman
85,excellent video,157,2025-05-31,08:33:25,[0.73251843],English,Roman
86,india respect button  jai hind,152,2025-05-31,07:52:38,[0.2431773],English,Roman
87,"am a baloch, please make a video on freedom struggle of balochistan",149,2025-05-31,11:30:09,[0.64439636],English,Roman
88,"am a baloch, please make a video on the freedom struggle of baloch people and the atrocities we face by pakistani government",148,2025-06-01,16:05:57,[0.869306],English,Roman
89,"we are proud of you
koi to h jo bina dare sach bolte h",147,2025-05-31,14:51:02,[0.7793629],English,Roman
90,"such informative and awareness
very good",147,2025-05-31,10:53:02,[0.974561],English,Roman
91,101 percent support and encouragement to our soldiers and defense system,146,2025-05-31,08:33:23,[0.9173621],English,Roman
92,"i am a muslim and i am proud that our country is india
i love india,, jai hind",146,2025-05-31,08:06:06,[0.6967737],English,Roman
93,"bro's 60-70% audience is from pakistan and bangladesh
just look at the comments section if u want proofs",144,2025-06-05,08:57:28,[0.93773955],English,Roman
94,ap jaise youtuber pure world me hona chahiye taki pure duniya insaniyat ki aur jaye,141,2025-05-31,08:51:02,[0.43846872],English,Roman
95,"i am from punjab, pakistan
i admits army involvement in every decision of the pakistan government
but my only point is that you are presenting news only from an india perspective and what about research during operation sindoor
indians attacked civilians and mosques and told you they attacked terrorists and you are promoting that
but in reality first they attacked civilians
another thing is the drone attack, i don't know much about the pakistan drone attack because i am not there in india
but in pakistan they attacked restaurants and parks
you can search for an attack on food street in rawalpindi and race course ground in rawalpindi
but you are presenting that indian drones only attack military places
that is called the hippocratic mind
i hope you keep in mind my response and in the next video you be careful",138,2025-06-01,13:02:45,[0.9674077],English,Roman
96,"respected agniveer akashdeep singh of punjab also sacrificed his life in this operation
salute to him salute to nation jai hind jai bharat",137,2025-06-01,05:32:04,[0.94329],English,Roman
97,"the most dangerous person is the one who listens, thinks and observes",137,2025-05-31,11:48:31,[0.9349067],English,Roman
98,love you dhruve rathee from pakistan  you are very right can you please make a video about pashtoons that how they are being treated by this army,136,2025-05-31,08:15:56,[0.9822553],English,Roman
99,i am always supporting india from belochi abd will support india,136,2025-05-31,08:43:14,[0.89930135],English,Roman
100,"i agree with you dhruv and you're absolutely correct, been watching you since years
love from pakistan..",133,2025-05-31,09:03:31,[0.9830587],English,Roman
101,"dhruvaji after a long time i want to pass on a comment to this platform because of your true rational analysis, in depth criticism as well as your unending efforts to propagate scientific temperament
our country should feel pride to have an intellent, well mannered and brave personality, or simply a true deshbhakt like you
thanks a lot",133,2025-05-31,09:48:48,[0.94016075],English,Roman
102,i m pakistani and i love my country and love for indian people too..however those who spread hatred on religious basis must be condemned..and alhamdulillah pak-india war ended..i strongly condemn pulwama coward attack..,128,2025-06-02,08:31:32,[0.8353271],English,Roman
103,..    ..salute to dhruv rathi sir..,125,2025-05-31,09:52:58,[0.49820766],English,Roman
104,this is real media dhruv rathee sir,125,2025-05-31,08:06:18,[0.8596135],English,Roman
105,muslim ho ya hindu ham sab indian hai respect every religion jai hind jai bharat,124,2025-05-31,19:29:05,[0.5130723],English,Roman
106,"most logical youtuber
perfect review of the current situation
great work",120,2025-05-31,08:43:50,[0.8240417],English,Roman
107,"i am from pakistan and i respect you
keep spreading facts
your work is awesome",118,2025-05-31,08:01:51,[0.94000244],English,Roman
108,"hello dhruv sir,
i'm reaching out from arunachal pradesh as a concerned citizen regarding the siang upper multipurpose project (hydropower dam) that threatens the siang river and the surrounding region
this massive project risks:
submerging large areas of forest and displacing indigenous communities
destroying fragile ecosystems and biodiversity
disrupting the natural flow of the siang river, which is vital for downstream populations and cultural identity
many local voices are being ignored, and we urgently need national attention on this issue
before irreversible damage is done
your channel has a strong voice for environmental and social justice can you help highlight this issue for a wider audience?
thank you love from arunachal pradesh",118,2025-05-31,08:34:50,[0.89736694],English,Roman
109,"dono behno ko bahut bahut dhanyawad
i proud of india",115,2025-05-31,08:47:00,[0.33287767],English,Roman
110,"congress in 100 years
modi in 15 years",112,2025-06-04,21:11:16,[0.81829584],English,Roman
111,"i am muslim
and i love my country india and love your content",110,2025-05-31,13:54:32,[0.63149977],English,Roman
112,"i am a pakistani and respect your intent and the way of investigative reporting
you are great!",109,2025-05-31,12:33:28,[0.9448447],English,Roman
113,"nailed it buddy, total slay",106,2025-05-31,15:50:42,[0.73274404],English,Roman
114,"when shahbaz sharif holding a picture of chinese war preparation and saying that ""look how we won against india"" the moment we realise who lost who won",105,2025-06-04,04:36:26,[0.96624637],English,Roman
115,who stands with unity and fraternity,104,2025-05-31,09:43:58,[0.96876085],English,Roman
116,"my reply to pakistani people
defending his audience",104,2025-06-01,19:53:59,[0.99332273],English,Roman
117,"percent unbiased analysis, hats off bro
appreciate from pakistan",104,2025-05-31,23:54:26,[0.8617183],English,Roman
118,"as a pakistani i have been watching your videos for 2 years and never missed any single video
no doubt you are doing good work keep it up",99,2025-05-31,08:24:51,[0.9813924],English,Roman
119,as a baloch resident i stand with india hope we get liberation soon,99,2025-05-31,18:45:54,[0.9178976],English,Roman
120,"dhruv bhai i am a pakistani and i have always loved your videos
i condemned the moment pahalgam happened
i agree with 80% of what you said in this video
yes military over here is very much involved in politics and i completely agree that up till 1999 pakistan was the main aggressor and kargil was all pakistan’s doing
however, the people who were killed in pakistan were innocent civilians
this included 7 children who had nothing to do with this conflict
we pakistanis over here are always critical of whatever our media shows us and we always verify with international media sources
however, in this conflict, you have to admit that the aggressor was india
just based upon past history, you cannot simply target a country’s sovereignty and do “precision strikes”
you need to provide credible evidence to at least the united nations
nothing can be solved through force
however, i am still your fan and will continue to watch your videos regardless of whoever/whomever you criticize",97,2025-06-02,17:38:40,[0.97981286],English,Roman
121,simple baat hai ham bhale hi apni govt ko criticise kare magar jab baat desh ki ho to ham indian hain,97,2025-06-01,05:41:45,[0.4367073],English,Roman
122,"a simple question: where is indian army at time of pahalgam attack?
there are 40 checkpoints in the area where the incident occurred as they said kashmir, india side is under control of indian army and securities
at the time of the attack, where are they going?",96,2025-05-31,20:52:47,[0.9799476],English,Roman
123,well explained,96,2025-05-31,07:50:00,[0.97561765],English,Roman
124,"jai hindustan jai bhartiya army
dhruv rathee is always on point
jai hind
from hyd,ind",95,2025-05-31,08:03:18,[0.66231424],English,Roman
125,great work from and educated section of india who are not fools,94,2025-05-31,13:50:31,[0.97800636],English,Roman
126,"great explained
love from assam",94,2025-05-31,12:53:56,[0.867411],English,Roman
127,..  thanks bro,94,2025-05-31,08:35:55,[0.35141194],Portuguese,Roman
128,"dhurve hipocrisy exposed
you lost the credibility",93,2025-06-01,11:54:16,[0.9250097],English,Roman
129,proud of our india army,92,2025-05-31,07:49:03,[0.78340685],English,Roman
130,"my dear brother as i pakistani i have a deep deep respect for you
i am extremely inspired by your saying
katar wadioon ka khalaf awaz uthata rahiya
we indians and pakistanis are brothers and sisters
we are the sons and daughters of the same soil, we owe it to our ancestors and future generations to reject the path of destruction",92,2025-05-31,19:37:09,[0.91499513],English,Roman
131,"sabse best line last me bole---
jay hind jay bharat",90,2025-05-31,16:54:19,[0.52947575],English,Roman
132,sach toh yeh hai ke ap ne tab pakistan ke khilaf video banai jab indian public ne ap ka bycot shuru kr diya tha,89,2025-06-06,23:49:27,[0.14437436],English,Roman
133,"excellent work dhruv bhai
jai hind",89,2025-05-31,09:33:43,[0.62743825],English,Roman
134,as a baloch resident l stand with india hop we get liberation soon,87,2025-05-31,08:50:12,[0.9063428],English,Roman
135,as a baloch resident l stand with india hope we get liberation soon,87,2025-05-31,15:10:31,[0.9179031],English,Roman
136,please make a video on rahul gandhi criticizing india abroad also,87,2025-06-06,04:33:55,[0.90851206],English,Roman
137,"hamare nabi ka farman hai jiss watan me raho uss watan se muhabat karo ,,,,, i love my india ,,,proud to be indian muslim",86,2025-05-31,08:07:01,[0.25663057],English,Roman
138,"i’m a muslim from multan, pakistan, and i’ve been watching your videos since 2017 — i don’t think i’ve missed a single one
your logical approach, fact-based analysis, and fearless storytelling have truly inspired me
i recently watched your video where you exposed some of the realities of pakistan, and it genuinely moved me
here, our government and military control the narrative, and we only see what they want us to see
please make more videos about pakistan — but from the perspective of ordinary citizens, not just politics or the military
we need content that helps people think critically and highlights the issues faced by the common man
your voice is important — not just for truth, but for justice
please make a video on crisis in balochistan and kpk",84,2025-05-31,17:57:57,[0.9492704],English,Roman
139,"dhruv bhaiya you are really doing a very great job...although i don't watch all your videos ( because some are not of my interest ) but whatever video i watch of yours is truly good and authentic.. really you are the best journalist of our country
love from india",84,2025-06-01,04:57:35,[0.9730873],English,Roman
140,"you are a fearless, courageous, and patriotic youtuber truthful and honest in every word!
a heartfelt salute to you and to every brave soul in indian army!",84,2025-05-31,09:53:35,[0.9229949],English,Roman
141,"we are proud indians, and we love you, dhruv!",83,2025-05-31,11:47:40,[0.8869989],English,Roman
142,"hi dhruv rathee,
i am a pashtun from pakistan and i request you to share the voice of my pashtun brothers and please share how they are conducting genocide in waziristan (pakistan) and how they are using kpk minerals but in return we get young people bodies and how every year many people are kidnapped by isi because they talk about truth and how a young leader name manzur pashten is fighting against it",82,2025-06-03,10:23:24,[0.96320593],English,Roman
143,love from pakistan  after imran khan you are the one how exposed the pakistani military hats of you,81,2025-05-31,07:53:02,[0.92178875],English,Roman
144,"i salute all innocent citizens
from pakistan",80,2025-06-01,10:10:39,[0.7335419],English,Roman
145,i am from pakistan and i support your work dhruv sir,80,2025-05-31,08:03:54,[0.94438875],English,Roman
146,"dhruv bhaiya i always with your ideologies..
keep it up..",78,2025-05-31,10:08:03,[0.9391604],English,Roman
147,proud to be an indian atheist,78,2025-05-31,07:56:31,[0.7184706],English,Roman
148,"india is fortunate to have an honest person like you, may god bless you",75,2025-05-31,13:14:26,[0.9626577],English,Roman
149,support druv rathee from india,73,2025-05-31,07:35:24,[0.8240433],English,Roman
150,beauty  of india and indians we are all united,73,2025-05-31,08:04:41,[0.91156894],English,Roman
151,mother respect  triple tap,72,2025-05-31,08:33:42,[0.7644266],English,Roman
152,your previous video was all against pakistan and you never spoke about how india attacked pakistan without any reason or sharing any evidence if pakistan was involved,72,2025-06-01,07:30:06,[0.9782072],English,Roman
153,from balochistan agree with your points but we demanded from you international media sources before,71,2025-05-31,07:53:05,[0.9325422],English,Roman
154,"i am from pakistan.. thanks a lot for clarifying yourself on this topic
but you should always check facts from every side (lots of love)",71,2025-05-31,08:29:11,[0.94457805],English,Roman
155,"why don’t people understand that this is not hindu vs muslim but actually, india vs pakistan",70,2025-05-31,07:51:18,[0.9215495],English,Roman
156,as a pakistani i know hmri army cruel h or government bkwas h,70,2025-06-02,04:09:57,[0.9353755],English,Roman
157,"as a baloch, my salute to indian army",69,2025-05-31,09:49:01,[0.9602737],English,Roman
158,"this is what we except from an indian
well done for supporting india by going against your own audience
be united",68,2025-05-31,12:16:36,[0.9812351],English,Roman
159,i am an indian muslim and l am proud of my beloved country india,68,2025-05-31,14:27:23,[0.70984083],English,Roman
160,"intro : my response to pakistani people
in this vedio:salute to indian air force",68,2025-06-02,17:27:55,[0.6820061],English,Roman
161,being a pakistani i agree all these points are super valid,67,2025-06-01,08:19:11,[0.8767794],English,Roman
162,"after watched video, totally agreed with you
love from pakistan",66,2025-05-31,08:24:41,[0.9802865],English,Roman
163,"one of the best explanation about the situation , love from madhya pradehs, jai hind",66,2025-05-31,07:58:59,[0.7217627],English,Roman
164,bro is trying hard to not get his channel ban in india,65,2025-05-31,13:17:14,[0.9967676],English,Roman
165,"and who carries out the attacks in pakistan?
innocent children were killed in the army public school attack, and in the quetta incident, people were killed—an indian agent was caught in balochistan who is still in pakistan's custody
what do you have to say about this, dhruv?",65,2025-05-31,15:23:16,[0.99312574],English,Roman
166,i stand with you dhruv bhai,65,2025-05-31,08:30:41,[0.8232657],English,Roman
167,"from pakistan, you're absolutely right!",63,2025-05-31,09:18:00,[0.98162097],English,Roman
168,respect after this video,62,2025-05-31,11:27:58,[0.87864643],English,Roman
169,"i'm also pakistani but this responsive video is necessary for pakistani
good ho gaya",62,2025-06-04,06:47:38,[0.90692896],English,Roman
170,"do you know?
pakistan had called for an independent investigation for pahalgam attack!
!",62,2025-05-31,16:25:08,[0.9876181],English,Roman
171,as a baloch i support you and believe you,62,2025-05-31,08:21:57,[0.9883788],English,Roman
172,alhamdulilah proud to be indian muslim,61,2025-05-31,09:16:50,[0.48219445],English,Roman
173,"earlier i thought that there was only one good person in india who knew the truth as truth and a lie as a lie, but now these two videos, the previous one and this one, have made baseless allegations against the pakistan military without providing any evidence and called them terrorists the way india attacked innocent children
is this humanity?",61,2025-05-31,18:03:28,[0.97924846],English,Roman
174,as a baloch resident l stand with india hope we get liberation soon,60,2025-05-31,11:23:02,[0.9179031],English,Roman
175,13:20 india had a operation sindhoor but pakistan converted into operation tindhoor,60,2025-05-31,11:22:33,[0.95359296],English,Roman
176,im shocked why main stream media is not talking about this,59,2025-05-31,09:25:11,[0.8095004],English,Roman
177,"good well explained, sir i'm from north east assam",59,2025-06-04,15:10:23,[0.93610835],English,Roman
178,finally finally the most awaited video came,58,2025-05-31,09:57:04,[0.9774406],English,Roman
179,"""i’m from pakistan, and i completely agree with what dhruv rathee ji said
everyone living in pakistan should do the same
but unfortunately, people won’t, because of the army and certain influencers on youtube
the army manipulates the minds of the people there
respect button for dhruv rathee """,58,2025-05-31,07:59:26,[0.91404897],English,Roman
180,14:10 salute to these son's of india,58,2025-05-31,09:04:00,[0.90407103],English,Roman
181,"salaam dhruv.. we all r with you
you always speaks truth
keep going",57,2025-05-31,10:37:32,[0.9582539],English,Roman
