,index,text,likes,Date,Time,confidence
23,33282,big bazaar mante hain ki ham bure lekin ham nahin hamla nahin karaya tum log insan laga rahe ho ham sab kuchh manne ko taiyar hai lekin ham lam,0,2025-06-04,16:50:31,[0.06775301]
24,9164,"jo pehlgam mai false flag operation kia india ny us ka b bta do, jahil",0,2025-06-01,10:27:05,[0.06800962]
25,15994,kya s-400 ddestroy nhi hooa,0,2025-05-31,17:23:03,[0.06839311]
26,10899,"jung ka abi b shaoq ha india ko, to dobara shaoq pura kr k dekh le, pehle to hm "" shiwangi "" ko le kr ae han ab hm unki saari maallaon aurton ko le kr aen ge",0,2025-06-01,05:07:22,[0.06900493]
27,5570,"akalmandon ko jaahilon se bahas nahi karni chahiye..
tum galat nahi ho bhai..
i proud of you",1,2025-05-31,09:34:01,[0.06902122]
28,34169,dhruv bhai tumhari ek galti h tum har mudde pr nahi bolte gwalior me dr bhim rao ambedkar ji ki murti nhi lag pa rahi desh pr me kese manuwadi log ye karre h ispe video bnao,0,2025-05-31,08:12:22,[0.06934731]
29,29082,bagerat insan ase bannam karne se pakistan  badnam ni hota tum inden ke ganad ban kardi h asam moneer ne  ab jo kaho hame kya,0,2025-05-31,09:31:31,[0.06938572]
30,26889,godhi madia wale india ka bla se kya taluq,0,2025-06-02,23:50:02,[0.06966919]
31,29784,"humein apni hukumat par tanqeed se koi masla nahi, hum khud sab se pehle apni ghaltiyon ki nishandahi karte hain
tum jab science, technology aur insaniyat ki baat kar rahe thay to baat mein wazan tha  — lekin desh bhakti ke naam par kisi humsaye par jhootay ilzaam lagaana sirf nafrat phelane wali soch hai
yeh nahi chalega!",0,2025-05-31,09:18:38,[0.06970152]
32,15537,sir youths nasa kar rahe ho uske upar video banayi ye jese bo inn sab chijo se dur rahe,0,2025-05-31,17:46:50,[0.06994127]
33,38578,true new,0,2025-05-31,07:35:22,[0.07092034]
34,15697,bas rahul gan 0:52 dhi ke liye sympathy jayda hai,0,2025-05-31,17:39:25,[0.07153542]
35,12081,bhai abhi tak terrorists ko kui nahi pakra unko pakar kar unsai hi pouchlo,0,2025-06-01,01:24:13,[0.0717426]
36,3296,8:49 haha  tabah krdia india ghror pakistan na d,1,2025-05-31,13:17:05,[0.07236491]
37,7891,agar pahalgam attack india nai nahi kia tha tho pakistan nai tho india ko peshkash ke te kai chalo muttahid ho kar es hamle ka zimadar nikalte hai tho phir india ne es se inkar keu kia (lakin ye baat tum logo se hazam nahi ho raha) pakistan hamaisha kalia zindabad,1,2025-05-31,12:03:50,[0.07237328]
38,3937,bachooo ko aur khawateen ko katal krnyy walyy bagairt aur gandyyy loog hamyy hamari army k khilaaf krna chahty han  inn sy bara chaal baaz dushman kon hosakty han,1,2025-06-01,05:27:16,[0.07246546]
39,6462,hindu gunde ho jate h lakin kashmiri k2a tere liye aam nagrik h jo hinduo ko markar pandito ko vha se markar bhaga diya kashmir se,1,2025-05-31,08:42:48,[0.07300495]
40,1039,agya apni sahi aukat mein,3,2025-05-31,15:29:58,[0.07319176]
41,2175,"tumhara bata 5 rafale girae or tumhara s400 system bni tabah ,r dia lanat tumhara par pakistan  zindabad",2,2025-05-31,08:04:20,[0.0734105]
42,16076,jai hind namaste,0,2025-05-31,17:20:11,[0.07356645]
43,4484,"agya phir se hinduo ki khilaf propaganda failane tujhe bas hindu hi galat dikhte hai jo murshidabad mai hota hai wah nhi dikhta bangladesh mei jo hota hai wah nhi dikhta
tere se yhi umeed bhi kar sakte hai paisa jo lekee bolta hai",1,2025-06-01,10:42:31,[0.07369412]
44,4227,na to tare video se pakistaniyo ko kall fark para tha na aj jo kar na he kar le tare views kerash ho gae he na bhiii,1,2025-06-01,03:58:19,[0.07385935]
45,11192,har chij fayda nuksan ke liye nahin kiya jata hai kuchha fayda nuksan se badhkar hota hai,0,2025-06-01,04:23:20,[0.07394175]
46,37790,bhai me paskitan se ho aur muslim ho apki har bat sach hoti hy apne hamsiah sach ka sat dya hy,0,2025-06-07,14:05:24,[0.07425967]
47,21887,0:47 aab mamata banerjee ke bare mai bhi bol jo rahdi naach machaya h,0,2025-05-31,12:45:59,[0.07484581]
48,31922,"tumm me itani knowledge ha to avo india mai
apani khud ki party banavoo
orr india ka vikass kar ke dikhao
germany me beth kar khali veido bana ne se or dusro ke upar inmggam laga ne se kuch nhai hota",0,2025-05-31,08:44:18,[0.07510559]
49,30965,hum nahi hain unlogo ke sath jo desh ki izzat ko barbad kar rahe  love my india mujhe batane ki zaroorat nahi thi lekin hum sab ek hain andar se,0,2025-05-31,08:58:33,[0.07518493]
50,4005,"bhai science ki madad se sab kuchh banaya ja sakta hai
agreed  lekin uske liye kisi hindu baba ka example ki jagah hoor wale baba ka example bhi de sakte hain
hai dum bolo",1,2025-06-01,06:38:00,[0.07615224]
51,9027,"rathee sahab itne hi sachay ho tou jaffar express or mastoong mein bachoun ki bas pe jo attack h7a us pe bna na sachi videos jis mein raw k or india k ghinounay chehray se parda uthao
bla or ttp ko palney waley india ko be naqab karney ki himmat hai sachay aadmi?
?",0,2025-06-01,10:44:48,[0.07627482]
52,20135,"ja o kharpainch
koi shak nahi raha keh tum bhi aik godi media hi ho",0,2025-05-31,14:02:36,[0.07636631]
53,35219,ranting gola ki insta id nahi dikh rhi aajkal,0,2025-05-31,07:59:27,[0.07685425]
54,9697,"modi ka pm elect honay se pehly usa ma entry q bann tha?
?",0,2025-06-01,08:37:09,[0.07713248]
55,5935,"gg ap ki har bath tu factual hai
ap agar pakistan ki pm ko criticize karti tu humi koi masla hi nahi tha hum tu ap ki sath iss criticism ka part banti
likin afsos ki sath ap ni jis tarha dusri mulkon ko criticize kia pakistan ko iss taraha nahi kia balki apni bharat ki operation tandoor ki sath match kar ki apni ap ki liyi kia tu phir tu ye insaf na hoa na
jis tarha ap ni dusro ko begar kisi profit ki criticize kia iss tarha humi bi karti tu phir tu koi masla nahi tha , hum or ap ik hi page par hoti
khair ye jo ap apni liyi kar rahi hai continue rakhi
har koi apni liyi hi tu jeeta hai likin plz ye jo fazol mi ap dual ban rahi hai issi katam kari or apni liyi kula stand li hum si dari nahi",1,2025-05-31,09:25:08,[0.07720679]
56,4280,me paktni hon mgr me kisi se nftr ni krta jane q inia ko b me apna hi desh manta hon hmare bich tkrar ki wjah siyast beroni ho androni wrna awam me aj log chahte hen k ml k rhen,1,2025-06-01,09:40:34,[0.07752191]
57,11223,"rathee sahab ab ap aasani se india ja saktay ho
politics kar gaye ho
pakistan ko gali day kar ap ka kam asaan ho gya hai",0,2025-06-01,04:18:43,[0.07754894]
58,14521,"zarori to ni k to jo boly waisa hi ho teri shakal sy lag raha ha k to ab jhot bol rha ha sari dunya pakistan ko man gai ha k pakistan ki foj kya chez ha par tum logo sy ye hazam ni ho rha modi har us bandy ko khareed rha ha jo famous ha taky log us ka yakeen kr len par pakistani bewakuf ni indian public ki tarha,
pakistan zindabad pak foj zindabad",0,2025-06-01,17:47:58,[0.07785377]
59,20415,sir apni hakomat k khilaf kab bolay ho wo batao jo india dahshat gardi karta os par kb awaz ohtayi ap ny dhikao koe video asi,0,2025-06-02,05:43:52,[0.07803762]
60,23134,ap kuch bolu ya na bolu pakistan ky bare main hamara kuch b nahi jata ap sirf youtube se paisy kamao bas,0,2025-05-31,12:00:46,[0.0784434]
61,20203,"desh k andar k dusman bss ek hi ideology me se h kya , dusre dusmano k baare me b baat kr leta jo pakistan ko support krte h desh me rhkar, tu wahi bnda h vo dusro ko manipulate kr ke smart bnte h 17:21",0,2025-05-31,13:57:46,[0.07855099]
62,36570,india ke vo case batane bhul gaye jisme kuch religious log india me sir kalam kar dete hain.. acha haa shayd uske liye paise nahi mile honge,0,2025-06-06,11:59:28,[0.07861244]
63,3892,9:28  tere se bada pakhandi kon hoga jo paise ke liye desh ke sath deshdroh karta hai,1,2025-06-07,19:45:10,[0.07883719]
64,7920,"ab s-400 system kha he?
?
kamran masih ne tabah kr diya tha 9 may ko
ghar me ghus kr maaraa saalluo ko(lindia)",1,2025-06-02,11:10:51,[0.07885852]
65,29514,un ki press briefing me pakistan ka koi zikr niii 3:58,0,2025-05-31,09:23:11,[0.07912762]
66,5789,itna v sach mat bolo,1,2025-05-31,09:21:28,[0.07950547]
67,11484,jab pakistan ne bola k kisi aur country se tehqiqaat kra lo to india q khamosh raha..?,0,2025-06-01,03:31:10,[0.07954703]
68,23963,such aur jot ko choro jitna ap indian youtubers k pas information hoti hai na us pe ap ki raw b hiran ho gi k itni information tu hamari pas b nhi jitna un logo k pas hai bat ati hai facts pe avoidance pe ap log na tu facts bat krte ho aur na ap logo k pas avoidance hota hai aur phir ap log har tarah se mar kate ho aur jot ka sahara lete ho,0,2025-05-31,11:33:25,[0.07956161]
69,35534,dharuv veer ji mai kharar se hi hu punjab se hi please punjab ko ese target mat kriye yaha hindu muslim nhi hota yaha ikthe langar shakte hain sham ko sab,0,2025-06-05,19:58:16,[0.07966939]
70,28831,not true,0,2025-05-31,09:36:47,[0.08005002]
71,24674,"pata ni kiski bat par bharosa karen …
pata ni kab kon jyoti malhotra nikal aye… is liye apne dil ki suno bas",0,2025-05-31,11:12:53,[0.08054851]
72,9034,abby chal na tu ab tujhy dar lag raha pakistani unfollow jo kr rhy,0,2025-06-01,10:46:25,[0.08079679]
73,33491,white flag,0,2025-05-31,08:21:30,[0.08093406]
74,7952,"agar itne he sacche ho toh!
jo 5 ya 6 india kai raffle giray hai pakistan nai uss par kun nhi bol rhai?
?
kunke tumhe darr hai india mai tumhara channel ban ho jay ga",1,2025-06-02,09:35:52,[0.08106735]
75,8318,"maine apne video mein putin ke khilaf aawaz uthai hein , trump ke khilaf jaise ki unhe farak pd rha hein",1,2025-05-31,08:08:47,[0.08109468]
76,19705,rahim yar khan hahahah o bhai yaha air base hai e nai tu keh rahah mei tabah kar di,0,2025-05-31,14:24:40,[0.08125754]
77,1542,aaj fir se lapet diye shastri ko vah dhruv bhai kya karigari hai,2,2025-05-31,13:42:20,[0.08147082]
78,6652,aapko ani ka copyright nahi gaya ab tak,1,2025-05-31,08:30:44,[0.08149197]
79,26608,rafilie jet ka zakar nah karoge kya bhai,0,2025-05-31,10:22:27,[0.08155984]
80,14541,"india me 1 tha phke insan ..ab wo b beghert ban gia h...paisa insan se kia krwata h ap dekh lo..hum to ap ko bht izt se dekhte the..ab laten paren g jaise 9 aur 10 ko india ko pari
pori dunya lanat vhej rahi h india pe aur ap ab b jhot bol rahe ho",0,2025-05-31,18:48:40,[0.08166347]
81,17289,har insan ko apne country se pyar he kisi ko ap certificate nhii de sktee,0,2025-06-01,21:27:18,[0.08211111]
82,6489,"modi ji upor se chamkila , andar se india ko khokla karke rakhdia , dhruv bhai make more videos",1,2025-05-31,08:49:10,[0.08223736]
83,3354,"bechare jiss agnniver ki zindagi chali gyi
use, aur uske parivar ko to kuch milega bhi nhi",1,2025-06-02,06:18:40,[0.0825823]
84,14790,hinduon ko aatanki bol deeya dhire se.. kitna bada suwar h,0,2025-06-01,17:59:31,[0.08264077]
85,32558,sach se jhota ko jalan hota pak atunkbadiyu se atunkbadi hamla karwakar chunab jitte gaddaro uresiya ki chor lootere beymano saytano ko saja bhayank milega bamcef jindabad jai jawan jai kisan,0,2025-06-04,11:40:07,[0.08285458]
86,15519,ap na mansoor ali sab ke video ka jwb nii deya agr jo bata us na batai ha agr wo ap ghlat bata jao to maan lou ga ka ap sach bol rha ho,0,2025-05-31,17:48:10,[0.08296333]
87,31295,phalgam border se approx 400 km ki dori pe hai itni kareeb ke area mai ek bsf ya india ki army ka soldier nahi tha jab ke itni dair tak hamla howa,0,2025-05-31,08:53:35,[0.08320431]
88,13301,tu keya gaandi ny muslim sy ghaddari nhi ki?,0,2025-05-31,20:42:14,[0.08322441]
89,2016,bhai pahle tu ham indians ka brainwash karna band kar acche se janta hun tere chal ko,2,2025-05-31,20:59:17,[0.08351168]
90,4687,"ak bar pakistan a kar dekho
tumain khud hi pata chal jy ga
ke hum log wo nai jo ap indian samjtay",1,2025-06-01,12:14:03,[0.08353337]
91,34243,"feku aur fanta ko bas power ki bhukh hai, aam logo se koi lena dena nai hai",0,2025-06-05,05:09:12,[0.0835808]
92,32956,"13:29 india ne btane se mana kar dya ktne rafael tabah hue han,
ye to daal me kala nhe balke pori daal hi kaali ha,",0,2025-05-31,08:29:41,[0.08360023]
93,4614,ham aapke ani video ka intezar kar rahe hain,1,2025-06-01,08:38:58,[0.08431292]
94,32613,ullo k pattthy jab patah ni tu na bola kr wuh atnki ni 10 11 saal k bachy thy jin ka janazah prha jarha tha,0,2025-06-04,12:12:11,[0.08464848]
95,4359,"bro ek line desh ke un gaddaro ke liye bhi bol deta jinhone pakistan ka samarthan kiya operation sindoor ke doran, pak flag ko sadak se nikalkar pak prem jataya par nhi tuje to ab bhi left wing ke logo ka dil jitna tha last me lipa poti krke",1,2025-06-01,09:27:23,[0.0850459]
96,5545,"lynching ker ke maar diya aur dharam puch kar mara h pehalgam ki trah-
-            ?
?
-",1,2025-05-31,09:31:32,[0.08524105]
97,29359,"lynching ker ke maar diya aur dharam puch kar mara h pehalgam ki trah-
-            ?
?
-",0,2025-05-31,09:26:22,[0.08524105]
98,18383,jabtak kisibhi desh ke log khud ki kamiya accept nahi karege tab tak success nahi hoga wo desh n politician uska fayda uthayege ..ye pakistan n india donok logo ko samajna padega,0,2025-05-31,15:28:24,[0.08526079]
99,18290,jatankwadi pe video banaiye desh me hajaro salo se jatankwadi jati puchh kr mar rahe hai,0,2025-05-31,15:31:58,[0.08538502]
100,29222,tu huta kon hy sab k bare me bolne wala bas chaye tujhe pesaaa kabi kisi ko galat boldo or kabi kisi ko roti to tujhe ise ho milti is k elwa teri okat kya hy bhoke nange,0,2025-05-31,09:28:30,[0.08543943]
101,8994,"q lougo ko misguide kartay ho
ab indian punjab ko pak ka khilaf karna start kar dia hai tumne,,,",0,2025-06-01,10:53:13,[0.08590839]
102,36584,hamen ap par doubt nhi hai mgar ap international media ke reference do na k modi ki media ki,0,2025-05-31,07:42:15,[0.08601985]
103,9679,udhampur mein jo mare airforce mein udham machaya uske bare mein to kuchh,0,2025-06-01,08:47:10,[0.08613486]
104,18211,poori kahani nahi batai ap ny ap ka s400 bhi tabah huwa tumhara patan kot or bramos miaaile ka zakhira or cyber war main or itna india ko zalil karwaya k modi ny seasfire karwaya,0,2025-05-31,15:35:04,[0.08614079]
105,16660,rathee sab me ap ko umeed ki kirn samjtha hu ind pak ki dosti k liye or insha allha esa zarur hu ga,0,2025-05-31,16:51:00,[0.08619902]
106,35162,tumhri information ik traf lakin pakistani youtuber sayad mazummal ki vedio ka jawab dena chahiye tum ko,0,2025-05-31,08:00:17,[0.08630521]
107,24573,"india me pakistan se nafrat ko vote maangne k lye use karten hen
par pakistan m india se nafrat pr kui vote na mangta he na hi kui vote deta he",0,2025-05-31,11:15:12,[0.08654177]
108,24596,"india me pakistan se nafrat ko vote maangne k lye use karten hen
par pakistan m india se nafrat pr kui vote na mangta he na hi kui vote deta he",0,2025-05-31,11:14:54,[0.08654177]
109,16293,"yah modi ki man ki dukaan nahin ke jab marji loot lo, pata to chal hi gaya hoga modi ko kya ham public smith andar ghus jaenge india ke aur indians ke",0,2025-05-31,17:08:47,[0.0866311]
110,36845,vaishnavi hagnave ke saath jo huaa hai uspe video banao plzzz,0,2025-06-06,16:32:03,[0.08671562]
111,7440,"naxalwadiyo ko upar kab video banaoge?
desh mai khule aam ghum rahe hai
pura gadchiroli area mai unka atank hai
police bhi daar ti hai",1,2025-05-31,08:01:26,[0.08676291]
112,14911,"channel ban hone k dar ki waja se india ki reality ko chupa raha ha ye bnda
aur jahan tak baat rahi pak military ki, wo jo marzi kare lekin tumhari foj ki trh dar k white flag ni show krti blk blk aakhri wqt tk larte han
hamare shaheedon ka naam apne sipahion k liye use mat karo jo dar k marte han nak himmat se
fake articles use krte ho puri dunya ko pata ha pakistan ne 6 rafale girae han tumhare aur tum ho k sai trh bta hi ni paa rahe
sach bolte wqt krwahat to mahsus hoti hi ha",0,2025-05-31,18:23:07,[0.08687603]
113,35854,"pehelgam mai jo kuch hua uske bhd wo log kyn nhi pakre gaen unko zameen kha ya asman nigal gaya,proof koi nhi aur pakistan mai attack kr diya",0,2025-05-31,07:50:33,[0.08692563]
114,1097,9:25 dhirendra shashtri ko shi toda,3,2025-05-31,17:01:14,[0.08714547]
115,19261,india me jo ho rha h wo bta kar pakistaniyo ko khus kar rha h,0,2025-05-31,14:48:12,[0.08715896]
116,11353,01:52 lo bhai chmacho ab to man jaoge na ki hamla pak k k2o aatankwadio ne kiya tha,0,2025-06-01,03:52:39,[0.08742116]
117,3869,arreyy bhai kena kia chahty ho,1,2025-06-01,13:52:33,[0.08765535]
118,10501,hindu apne dharm ko aur apne devtaon ko nahin basate sudhar nahin karte apne mandiron mein jahan vip lineon ke dwara paise kamae jaate hain fir dusron ke dharm mein ghus ke kyon unke itihaas ko toda maroda jata hai main aapki baat nahin kar raha bahut si kitaben aisi hain jinmen sikhon ke guruon ko bahut gandi bhasha mein aur bahut galat dikhaya gaya hai,0,2025-06-01,13:30:15,[0.08785847]
119,25506,tu sab se bada desh dorhi hai dhruv,0,2025-06-02,17:59:15,[0.0879359]
120,15912,"27:57 galtian agr hoti hain tu kia tum sy ni ho sakti?
agr galti ni howi tu itna clear kyn kr rahy khd ko",0,2025-05-31,17:28:47,[0.08807006]
121,4105,india ab har gaye ho to bahane banaa rahe ho india walon comment ka jawab do darna mat,1,2025-06-01,03:31:53,[0.08822762]
122,18664,ye video india ke khelaf islea nahi banai kai tumhara sara views india se ata hai modi ne to sab channels ban kardeye india mai islea tumhea dar ta ke tum hara channel india mai band na hojaye warna tum beek maang te pero ge,0,2025-05-31,15:15:04,[0.08833842]
123,37492,"ek video mr
virat sir pe bhi jo log bol rhe h ki mr
virat kohli ki galti h un logo ke liye ek video",0,2025-06-07,07:54:06,[0.08835971]
124,23348,bbc fake this man true,0,2025-05-31,11:53:30,[0.08839159]
125,16859,vse tere comment m muslim hi comment q krte h,0,2025-05-31,16:41:59,[0.08842949]
126,12085,hum es ko sacha man bhi len k ap sach bol rahy ho magar ap pakistani civilians ki bat tak nhi krty jo kuch india balochistan mein karwa raha hy funds dy raha hy os py bat nhi krty ho or jab jab ap k country mein election hoty hen tab tab hi kun india mein hamla hona shoro ho jata hy or faida kis ko hota hy ye bhi ap ko pta hy to es py ap ankhen band kun kr lety ho ap k ab k vedio dikh k saf dikhta hy ap jhoth bol rahy ho,0,2025-06-01,01:25:47,[0.08852495]
127,10125,"yaha par apne newtral media source de to main apse itifaq karta ho
baqi pakistan ka claim 6 air craft hain
awr ik bat se mutafiq nahi ho kionke apne indian begunah logo ke mare jane ke bat ki liken pakistan main be ap ke fouj ne beguna log mare hain un ka zikar kahi nahi
baqi jab bi apke vedio main jhol hain",0,2025-06-01,07:22:13,[0.08881478]
128,28454,sabse pahle desh ke andar ke aatank ko khatam karne ki jarurat hai,0,2025-05-31,09:43:26,[0.08888867]
129,6561,bhai ads bad mai dedana,1,2025-05-31,08:27:15,[0.08892049]
130,34157,main tumhare logical fact ko agreed karta hu lekin jo tumne shirf hinduon ko villain dikhaya hai ek tarfa baat ki hai usko sudharo kyu ki taali ek haath se nhi bajti..,0,2025-05-31,08:12:22,[0.08899745]
131,35169,25:09 jahil insan tumhu urdu ki tafseer ka pta nhi.. specific wo loog jinhu ne ye kaam kiye.. agr ye hota tu pakistan hindu aur sikhu ko pakistan na rehne na dety,0,2025-05-31,07:59:55,[0.08915704]
132,20747,ha bhai.. karachi tw tabah krdia tha tm logo ne.. hahahahah,0,2025-05-31,13:32:05,[0.08924585]
133,15289,"samjh na padega whole world ko..teel or khun or pani or khun kaise chal raha hai..saram nahi aata hai....manvata lagta khatam ho raha hai
pakistan or uske bhade ke atanbadi kitna namakul hai jannat ko khoj te khoj te bharat main aate hain
jisne tere ko ajadi di unhiko mare main lage huye hoooo laholbila qublat..,.. samaya ke sath badal jaoooo pakistan nahito balma padhne ke like nahi rahogeee...jai hind",0,2025-05-31,18:01:17,[0.08935903]
134,10626,tumare hisab se sirf hindu hi yahi sab chahte hai or bhi bahut se cases hai jisme muslim bhi pakistan ko support karte hai or attankwadi ko bhi or pakistan ke flag se usko bhi dikha dete mai ye kah raha hu ki sari chis sahi se dikho na ki one sided,0,2025-06-01,05:51:45,[0.08936841]
135,1792,jitna marji detail mai jaty raho rafail k malbay k siva kuch nai milyga,2,2025-05-31,10:59:22,[0.08949321]
136,16040,bechare pakistani vale aab bohot pachtare h ki kash batwara na krte to ye din na dekhne odte,0,2025-05-31,17:21:02,[0.08981882]
137,4919,"tuja aai pakistani hoti ka tuja bap ?
?
ka aavarish ahes tu?
bc deash madhe rahun video kar na kashala baher gela ahes ?
karma return !
!",1,2025-05-31,17:49:05,[0.08983332]
138,28324,pakistan ko harana mushkil nahi na mumkin hai aglai 10 nasal ayad rakai gi bunyan marsoos,0,2025-05-31,09:45:21,[0.09010112]
139,34231,"bla ka kia jo raw krwa rahe india mel k?
hmry bachy ko shaheed ho gy 132?
un ko kon krta sponcer?",0,2025-06-05,04:38:03,[0.09033723]
140,10981,"bkl dhirendra shastri ji ke baare me faltu nhi , tu conscious baate nhi samjhega",0,2025-06-01,04:53:40,[0.09034745]
141,31702,bhai enke yaha ataanki nahi hote sab muslman hote hai,0,2025-05-31,08:47:37,[0.09040653]
142,24773,hindu pe yaqeen nahi  wo sirif muslim se nafrat rakta he,0,2025-05-31,11:09:37,[0.09042268]
143,26342,indian nikamma abhi tak kyon nahin pakda aatankwadi ko,0,2025-05-31,10:29:10,[0.09110397]
144,16385,"godi mai baith k kaisa mehsoos ho raha hai
kaya chuban ho rahi hai jo bar bar justify krne ke koshish kr rahay ho?",0,2025-05-31,17:03:24,[0.09117308]
145,14822,pakistani militry bohut he kharab ha khud ka he log waziristna peshawar khar qamar swat aur degar elako ma pashtun aur balochistan ma baloch par hamla kar ka un ko jan sa mar kar kahta ha ka hum na afghanistani agent hamna indian agents ko mar deya ha lakin haqeqat ya ha ka jis jaga ko en pak militry na select keya ha waha par qudrati wasae aurmadneyat ha arbo ruba ka aur ya log molk ma security issue ka name par fund aur audhar lata ha,0,2025-05-31,18:30:29,[0.0912872]
146,18436,jo log india mai keh rahy han ke attack modi ne karwaya hai election ke liye wo kya hai ?,0,2025-05-31,15:25:47,[0.09147236]
147,15353,opration sindoor k doran pakistan mai b buht laog or bache shaheed hove hain plzzzz us pe b baat kre na plzzzzzzzzz,0,2025-06-01,18:37:25,[0.091546]
148,12770,koi dhang ka insan nahi mila jis ny accha comment keya ho,0,2025-05-31,22:03:30,[0.0915661]
149,8187,ooo chal nikal pht gai hy na tum logo ki,1,2025-06-02,18:55:26,[0.09164978]
150,24545,27:42 the hindu sab se pehle isi ne khabar de thi k 3 jahaj gir gaye,0,2025-05-31,11:15:57,[0.09186077]
151,9578,na bhai atank ka koi dharm nahi hota,0,2025-06-01,09:08:22,[0.09192308]
152,32179,"rafael gira die thay pakistan ne, wo nhi btaya bhai tu ne",0,2025-05-31,08:40:09,[0.09194259]
153,12462,"2 weeks lgy tumhein reply denay mein tera mind bnd ha
tu kharha nai hota na time py wrna mein keh deta tu ek **und ha",0,2025-06-01,15:39:14,[0.0921481]
154,15802,tum india k log bhonkny k ilawa kuch nhi kr sakty,0,2025-05-31,17:33:42,[0.09238496]
155,1336,bas kro sub ko pata ha kon attack kra taha only india,2,2025-05-31,09:29:31,[0.09240313]
156,29815,ky ya tumhai fogi taqat hy sirf muthi bar dhshat gard rok nahi py to pakistan sy kia laro gy,0,2025-06-03,15:34:13,[0.09241659]
157,26533,"heyy mo
yunus ke khilaf kb bolega re tu",0,2025-05-31,10:23:37,[0.09252517]
158,13045,bach gaya tera chanl india mai bs krdy pagly ab rulaega kia hahhaa,0,2025-05-31,21:21:06,[0.0926417]
